date,district,gender,age_group,income_level,urban_rural,sales_amt_inr,cost_amt_inr,profit_amt_inr,margin_pct,month
2022-09-12,Other,Female,26-35,Low,Urban,48.02,46.04,1.98,4.13,2022-09
2023-05-05,Surat,Female,36-50,Lower-middle,Urban,71.14,69.89,1.25,1.76,2023-05
2021-12-26,Surat,Male,26-35,Upper-middle,Urban,71.03,60.38,10.65,14.99,2021-12
2021-04-27,Other,Female,0-17,Upper-middle,Urban,81.75,71.79,9.96,12.18,2021-04
2021-12-23,Other,Female,26-35,Upper-middle,Urban,153.0,133.62,19.38,12.67,2021-12
2023-08-15,Surat,Male,51-65,Middle,Rural,116.92,107.22,9.7,8.3,2023-08
2022-03-15,Other,Male,0-17,Lower-middle,Urban,87.98,82.91,5.07,5.76,2022-03
2024-09-16,Vadodara,Male,26-35,Middle,Urban,128.6,117.27,11.33,8.81,2024-09
2024-04-26,Surat,Female,51-65,Lower-middle,Rural,61.01,57.12,3.89,6.38,2024-04
2024-07-28,Bhavnagar,Male,26-35,Lower-middle,Urban,97.61,90.53,7.08,7.25,2024-07
2024-02-13,Gandhinagar,Female,66+,Middle,Rural,100.27,90.55,9.72,9.69,2024-02
2024-06-13,Bhavnagar,Male,26-35,Lower-middle,Urban,121.11,109.97,11.14,9.2,2024-06
2024-09-23,Other,Female,36-50,Low,Urban,63.97,59.73,4.24,6.62,2024-09
2022-06-06,Other,Male,18-25,High,Urban,144.2,118.74,25.46,17.65,2022-06
2021-07-18,Vadodara,Female,18-25,Lower-middle,Urban,124.07,109.72,14.35,11.57,2021-07
2023-12-10,Ahmedabad,Male,36-50,Lower-middle,Rural,33.68,30.35,3.33,9.88,2023-12
2024-03-11,Vadodara,Male,0-17,Lower-middle,Urban,103.36,99.54,3.82,3.69,2024-03
2022-11-01,Other,Male,0-17,Low,Urban,91.65,87.39,4.25,4.64,2022-11
2023-11-20,Other,Female,18-25,Lower-middle,Urban,114.47,106.33,8.14,7.11,2023-11
2024-01-11,Other,Female,18-25,Lower-middle,Urban,148.55,138.09,10.46,7.04,2024-01
2021-01-31,Gandhinagar,Female,0-17,Low,Rural,115.94,100.4,15.53,13.4,2021-01
2023-10-05,Bhavnagar,Male,66+,Middle,Urban,115.16,109.17,5.99,5.2,2023-10
2021-11-29,Ahmedabad,Male,18-25,Low,Rural,76.29,68.48,7.81,10.24,2021-11
2022-10-22,Ahmedabad,Female,36-50,Upper-middle,Rural,111.32,100.1,11.22,10.08,2022-10
2021-06-26,Ahmedabad,Female,26-35,Middle,Rural,97.49,82.42,15.07,15.46,2021-06
2022-01-05,Bhavnagar,Male,66+,Lower-middle,Rural,126.44,116.97,9.48,7.49,2022-01
2022-07-01,Gandhinagar,Male,0-17,Upper-middle,Urban,113.91,100.3,13.61,11.95,2022-07
2022-06-19,Rajkot,Female,26-35,Low,Urban,87.07,77.54,9.54,10.95,2022-06
2024-02-04,Other,Male,26-35,Middle,Urban,119.6,111.87,7.73,6.46,2024-02
2021-04-07,Other,Female,36-50,Low,Urban,133.02,113.77,19.25,14.47,2021-04
2021-08-18,Other,Female,26-35,Lower-middle,Rural,33.25,27.6,5.65,16.98,2021-08
2021-08-15,Ahmedabad,Male,36-50,Lower-middle,Urban,22.07,21.27,0.8,3.64,2021-08
2022-01-06,Gandhinagar,Female,51-65,Lower-middle,Urban,119.49,104.54,14.94,12.5,2022-01
2024-01-29,Surat,Female,18-25,Middle,Rural,74.95,66.6,8.34,11.13,2024-01
2021-02-24,Other,Male,51-65,Low,Urban,64.66,61.8,2.86,4.43,2021-02
2024-05-03,Ahmedabad,Male,26-35,Middle,Urban,101.91,87.0,14.91,14.63,2024-05
2022-02-28,Ahmedabad,Female,0-17,Lower-middle,Urban,98.33,97.48,0.84,0.86,2022-02
2021-11-11,Ahmedabad,Male,18-25,Low,Urban,57.27,57.27,0.0,0.0,2021-11
2024-02-26,Ahmedabad,Female,51-65,Upper-middle,Urban,121.78,106.52,15.26,12.53,2024-02
2021-02-01,Ahmedabad,Female,26-35,Lower-middle,Urban,111.67,105.67,6.01,5.38,2021-02
2021-04-03,Rajkot,Female,0-17,Low,Urban,121.64,116.21,5.43,4.46,2021-04
2022-06-03,Ahmedabad,Male,36-50,Upper-middle,Urban,162.06,147.62,14.44,8.91,2022-06
2024-07-05,Ahmedabad,Female,51-65,Lower-middle,Rural,101.41,88.09,13.32,13.14,2024-07
2023-05-03,Ahmedabad,Female,0-17,Low,Rural,49.59,46.14,3.45,6.95,2023-05
2024-05-28,Bhavnagar,Male,26-35,Low,Rural,44.11,38.51,5.6,12.69,2024-05
2023-01-22,Other,Male,18-25,Lower-middle,Rural,102.72,93.47,9.25,9.01,2023-01
2024-02-04,Other,Male,18-25,Upper-middle,Rural,125.63,113.12,12.51,9.96,2024-02
2022-02-20,Bhavnagar,Female,26-35,Lower-middle,Urban,128.45,119.69,8.76,6.82,2022-02
2022-07-11,Ahmedabad,Male,0-17,Low,Urban,85.67,75.63,10.04,11.72,2022-07
2024-08-25,Rajkot,Female,26-35,Lower-middle,Urban,179.23,155.35,23.88,13.33,2024-08
2022-01-01,Rajkot,Female,18-25,Low,Urban,80.89,72.18,8.71,10.76,2022-01
2022-08-22,Other,Female,36-50,Middle,Urban,116.08,111.93,4.15,3.57,2022-08
2024-10-25,Other,Male,51-65,Low,Urban,64.66,61.93,2.73,4.23,2024-10
2021-11-27,Ahmedabad,Female,0-17,Lower-middle,Urban,131.08,123.1,7.98,6.09,2021-11
2022-11-20,Rajkot,Female,26-35,Low,Urban,110.64,93.47,17.17,15.52,2022-11
2021-01-11,Ahmedabad,Female,18-25,Middle,Urban,125.52,114.95,10.57,8.42,2021-01
2023-03-29,Surat,Female,66+,Lower-middle,Rural,56.93,48.57,8.36,14.69,2023-03
2022-02-23,Other,Female,36-50,Low,Urban,131.67,107.05,24.62,18.7,2022-02
2024-02-20,Other,Female,0-17,Middle,Urban,139.35,116.84,22.51,16.15,2024-02
2023-06-30,Surat,Male,26-35,Lower-middle,Urban,151.9,137.18,14.72,9.69,2023-06
2024-06-12,Ahmedabad,Female,0-17,Middle,Rural,72.81,60.43,12.38,17.0,2024-06
2024-09-16,Ahmedabad,Female,36-50,Lower-middle,Rural,79.18,71.94,7.24,9.14,2024-09
2021-12-14,Ahmedabad,Female,26-35,Low,Urban,84.03,72.01,12.02,14.3,2021-12
2023-08-16,Bhavnagar,Female,36-50,Middle,Urban,76.4,74.93,1.48,1.93,2023-08
2022-02-16,Other,Male,26-35,Upper-middle,Urban,130.57,110.45,20.12,15.41,2022-02
2024-06-01,Ahmedabad,Male,0-17,Middle,Rural,64.96,60.24,4.72,7.26,2024-06
2021-06-02,Other,Male,0-17,Lower-middle,Urban,106.26,102.82,3.45,3.24,2021-06
2024-05-20,Surat,Male,51-65,Upper-middle,Urban,143.55,122.07,21.48,14.96,2024-05
2021-04-02,Gandhinagar,Female,0-17,Low,Urban,90.3,84.97,5.33,5.9,2021-04
2021-11-27,Ahmedabad,Female,36-50,Middle,Rural,59.97,54.93,5.04,8.4,2021-11
2023-08-13,Ahmedabad,Female,0-17,Middle,Urban,138.07,126.61,11.46,8.3,2023-08
2023-08-28,Surat,Male,51-65,Middle,Urban,126.44,122.86,3.58,2.83,2023-08
2022-07-08,Rajkot,Male,26-35,Low,Urban,59.75,50.64,9.11,15.24,2022-07
2023-07-19,Bhavnagar,Female,26-35,Low,Rural,74.22,63.44,10.78,14.52,2023-07
2024-06-05,Other,Female,36-50,Lower-middle,Rural,104.85,96.33,8.52,8.12,2024-06
2021-07-13,Bhavnagar,Female,18-25,Lower-middle,Urban,93.95,85.81,8.14,8.67,2021-07
2022-06-14,Ahmedabad,Female,26-35,Middle,Rural,67.85,64.67,3.18,4.69,2022-06
2023-04-25,Ahmedabad,Female,51-65,Lower-middle,Urban,75.48,69.75,5.73,7.6,2023-04
2024-06-20,Rajkot,Male,0-17,Low,Rural,77.67,70.07,7.6,9.78,2024-06
2024-11-13,Gandhinagar,Female,18-25,High,Urban,189.34,173.99,15.35,8.11,2024-11
2024-07-23,Gandhinagar,Male,36-50,Middle,Urban,114.85,103.78,11.07,9.64,2024-07
2022-10-01,Ahmedabad,Male,36-50,Lower-middle,Urban,132.26,127.56,4.7,3.55,2022-10
2022-04-23,Bhavnagar,Male,0-17,Middle,Rural,71.6,60.34,11.27,15.74,2022-04
2022-04-25,Other,Male,66+,Middle,Urban,120.17,110.21,9.97,8.3,2022-04
2021-10-15,Rajkot,Male,36-50,Upper-middle,Rural,131.63,108.74,22.89,17.39,2021-10
2022-11-29,Surat,Female,26-35,Middle,Urban,131.01,129.36,1.65,1.26,2022-11
2022-11-26,Other,Male,26-35,Low,Urban,69.08,67.64,1.43,2.07,2022-11
2022-06-24,Rajkot,Female,26-35,Lower-middle,Rural,72.44,57.83,14.62,20.18,2022-06
2021-11-26,Vadodara,Female,0-17,Lower-middle,Urban,68.45,68.45,0.0,0.0,2021-11
2022-04-15,Gandhinagar,Other,36-50,Low,Rural,78.45,72.19,6.26,7.97,2022-04
2023-04-29,Vadodara,Female,0-17,Upper-middle,Urban,116.17,115.5,0.67,0.58,2023-04
2022-06-18,Other,Female,36-50,Low,Rural,129.01,118.92,10.09,7.82,2022-06
2022-04-12,Rajkot,Male,51-65,Low,Urban,118.99,110.56,8.43,7.08,2022-04
2023-09-04,Other,Female,51-65,Upper-middle,Rural,87.93,80.16,7.77,8.83,2023-09
2022-02-24,Ahmedabad,Female,0-17,Middle,Urban,94.79,89.31,5.47,5.77,2022-02
2024-02-20,Surat,Female,36-50,Lower-middle,Urban,139.84,126.64,13.2,9.44,2024-02
2023-02-01,Vadodara,Female,66+,Low,Rural,98.24,95.39,2.85,2.9,2023-02
2023-10-03,Ahmedabad,Female,0-17,Lower-middle,Rural,85.65,77.59,8.06,9.41,2023-10
2023-06-10,Rajkot,Female,0-17,Middle,Rural,81.89,77.95,3.94,4.82,2023-06
2021-11-04,Ahmedabad,Female,18-25,Middle,Rural,43.29,38.54,4.75,10.96,2021-11
2023-07-13,Gandhinagar,Female,18-25,Lower-middle,Urban,102.01,90.89,11.12,10.9,2023-07
2021-11-30,Surat,Male,18-25,Upper-middle,Urban,124.15,107.14,17.01,13.7,2021-11
2023-08-12,Bhavnagar,Female,51-65,Middle,Rural,81.03,73.32,7.71,9.51,2023-08
2024-12-14,Other,Female,36-50,Lower-middle,Urban,124.79,119.7,5.1,4.08,2024-12
2024-09-11,Other,Male,0-17,Middle,Urban,59.6,54.98,4.62,7.76,2024-09
2023-10-19,Ahmedabad,Female,26-35,Low,Rural,100.93,98.96,1.96,1.94,2023-10
2023-02-28,Other,Male,51-65,Lower-middle,Urban,78.34,67.09,11.25,14.36,2023-02
2023-04-12,Surat,Male,26-35,Middle,Urban,96.85,85.71,11.14,11.5,2023-04
2023-04-24,Other,Male,0-17,Lower-middle,Rural,89.3,82.14,7.16,8.02,2023-04
2021-09-07,Other,Female,66+,Low,Urban,127.95,115.84,12.1,9.46,2021-09
2024-01-24,Bhavnagar,Male,18-25,Low,Urban,108.33,101.51,6.82,6.3,2024-01
2024-08-12,Other,Male,26-35,Middle,Urban,128.33,114.68,13.65,10.64,2024-08
2021-07-03,Ahmedabad,Female,26-35,High,Rural,168.16,147.12,21.03,12.51,2021-07
2024-07-07,Other,Male,26-35,Upper-middle,Urban,117.19,109.58,7.61,6.49,2024-07
2023-03-10,Rajkot,Male,36-50,Lower-middle,Rural,56.34,52.29,4.05,7.19,2023-03
2021-07-05,Other,Female,18-25,Low,Rural,75.47,65.78,9.69,12.84,2021-07
2024-12-03,Gandhinagar,Male,26-35,Middle,Urban,124.51,105.1,19.41,15.59,2024-12
2023-12-29,Ahmedabad,Female,18-25,Upper-middle,Urban,101.94,91.79,10.15,9.96,2023-12
2023-04-18,Ahmedabad,Male,26-35,Upper-middle,Rural,171.29,152.5,18.79,10.97,2023-04
2022-09-19,Other,Female,51-65,Lower-middle,Rural,94.57,81.36,13.21,13.97,2022-09
2023-05-09,Other,Female,18-25,Lower-middle,Urban,62.09,57.01,5.08,8.18,2023-05
2021-01-08,Ahmedabad,Female,51-65,Low,Urban,116.63,98.43,18.2,15.6,2021-01
2024-07-12,Rajkot,Male,18-25,Low,Rural,84.98,80.31,4.67,5.49,2024-07
2023-02-22,Bhavnagar,Male,0-17,Low,Urban,52.45,42.6,9.85,18.78,2023-02
2023-02-14,Bhavnagar,Female,0-17,Upper-middle,Urban,150.28,150.28,0.0,0.0,2023-02
2023-10-04,Vadodara,Female,66+,Lower-middle,Urban,89.11,78.19,10.92,12.25,2023-10
2024-10-26,Ahmedabad,Female,26-35,Lower-middle,Urban,89.72,80.08,9.64,10.75,2024-10
2022-11-08,Rajkot,Male,26-35,High,Urban,171.72,158.89,12.83,7.47,2022-11
2024-01-12,Surat,Female,0-17,Lower-middle,Urban,97.32,91.43,5.89,6.05,2024-01
2021-07-30,Ahmedabad,Male,26-35,Lower-middle,Rural,124.64,114.9,9.75,7.82,2021-07
2024-08-29,Surat,Male,36-50,Middle,Rural,109.71,98.72,10.99,10.02,2024-08
2024-09-22,Other,Female,26-35,Low,Urban,33.71,31.32,2.39,7.08,2024-09
2022-05-05,Rajkot,Female,0-17,Low,Urban,90.03,90.03,0.0,0.0,2022-05
2024-11-27,Ahmedabad,Male,18-25,High,Urban,144.08,131.3,12.78,8.87,2024-11
2022-10-01,Other,Male,36-50,Lower-middle,Rural,123.94,110.45,13.49,10.89,2022-10
2021-07-10,Vadodara,Male,26-35,Lower-middle,Urban,96.66,86.26,10.41,10.77,2021-07
2022-11-02,Rajkot,Female,26-35,Low,Urban,62.09,54.79,7.3,11.76,2022-11
2023-04-23,Ahmedabad,Female,0-17,Low,Urban,58.54,54.17,4.37,7.46,2023-04
2021-12-01,Vadodara,Male,26-35,Upper-middle,Rural,108.0,96.22,11.78,10.91,2021-12
2024-01-16,Ahmedabad,Female,26-35,Low,Rural,31.36,27.94,3.42,10.89,2024-01
2022-08-02,Surat,Male,51-65,Lower-middle,Urban,72.17,57.44,14.73,20.41,2022-08
2021-03-03,Other,Male,26-35,Low,Urban,136.27,135.31,0.97,0.71,2021-03
2022-01-22,Ahmedabad,Male,36-50,Middle,Urban,131.36,128.9,2.46,1.87,2022-01
2024-03-15,Ahmedabad,Male,51-65,Lower-middle,Urban,112.48,100.51,11.97,10.64,2024-03
2021-06-02,Vadodara,Male,26-35,High,Urban,179.81,153.82,25.99,14.46,2021-06
2022-09-11,Surat,Male,0-17,Upper-middle,Urban,110.0,98.38,11.62,10.56,2022-09
2022-11-29,Bhavnagar,Female,0-17,Upper-middle,Urban,124.63,107.54,17.09,13.72,2022-11
2024-10-04,Bhavnagar,Male,66+,Low,Urban,94.58,90.31,4.26,4.51,2024-10
2021-06-27,Gandhinagar,Male,26-35,Low,Urban,130.37,111.82,18.55,14.23,2021-06
2023-04-27,Surat,Male,0-17,Middle,Rural,137.33,126.86,10.47,7.63,2023-04
2022-05-02,Bhavnagar,Male,26-35,Low,Urban,119.56,115.37,4.18,3.5,2022-05
2024-06-24,Vadodara,Male,66+,High,Rural,134.99,122.89,12.1,8.96,2024-06
2024-07-01,Gandhinagar,Male,0-17,Low,Urban,65.59,63.85,1.74,2.65,2024-07
2022-05-15,Other,Female,26-35,Middle,Urban,110.98,101.07,9.91,8.93,2022-05
2022-06-25,Surat,Female,0-17,Low,Urban,37.46,34.35,3.11,8.31,2022-06
2024-10-07,Vadodara,Female,26-35,Middle,Rural,103.16,92.93,10.23,9.91,2024-10
2021-01-13,Surat,Female,36-50,Upper-middle,Urban,141.27,135.17,6.1,4.32,2021-01
2021-05-31,Vadodara,Female,26-35,Low,Urban,160.84,154.64,6.2,3.85,2021-05
2023-12-10,Surat,Female,66+,Low,Rural,81.23,71.15,10.08,12.4,2023-12
2024-05-23,Ahmedabad,Female,26-35,Middle,Urban,95.44,78.71,16.72,17.52,2024-05
2023-09-18,Other,Female,66+,Low,Urban,94.53,90.39,4.14,4.38,2023-09
2022-10-06,Other,Female,18-25,Upper-middle,Urban,110.36,99.54,10.82,9.8,2022-10
2022-01-07,Rajkot,Male,0-17,Upper-middle,Rural,103.26,93.93,9.33,9.04,2022-01
2024-02-11,Other,Male,0-17,Middle,Urban,72.65,56.12,16.53,22.76,2024-02
2021-09-09,Surat,Male,0-17,Lower-middle,Urban,111.95,94.68,17.27,15.42,2021-09
2024-09-26,Ahmedabad,Female,36-50,Lower-middle,Urban,71.65,68.39,3.26,4.55,2024-09
2021-02-22,Ahmedabad,Male,0-17,Low,Rural,88.92,84.02,4.9,5.52,2021-02
2024-02-28,Other,Female,36-50,Middle,Urban,179.85,154.99,24.86,13.82,2024-02
2021-07-12,Rajkot,Male,26-35,Low,Urban,67.51,64.82,2.69,3.99,2021-07
2022-08-14,Other,Male,18-25,Middle,Urban,120.63,100.68,19.95,16.54,2022-08
2023-12-17,Other,Male,36-50,Low,Rural,92.68,75.48,17.2,18.56,2023-12
2021-04-07,Other,Female,0-17,Upper-middle,Rural,124.97,124.97,0.0,0.0,2021-04
2021-07-17,Rajkot,Female,18-25,Middle,Urban,127.95,120.48,7.46,5.83,2021-07
2021-05-27,Surat,Male,36-50,Lower-middle,Rural,20.87,18.9,1.97,9.43,2021-05
2024-08-11,Gandhinagar,Female,36-50,Lower-middle,Urban,92.56,89.02,3.54,3.82,2024-08
2022-12-24,Ahmedabad,Male,36-50,Low,Urban,31.64,29.48,2.16,6.84,2022-12
2022-11-15,Vadodara,Female,26-35,Middle,Urban,57.44,55.56,1.88,3.27,2022-11
2023-11-02,Ahmedabad,Female,26-35,Upper-middle,Rural,151.32,149.63,1.68,1.11,2023-11
2021-11-29,Other,Female,26-35,Upper-middle,Urban,160.16,148.0,12.16,7.59,2021-11
2024-05-28,Vadodara,Female,51-65,High,Rural,177.31,167.88,9.43,5.32,2024-05
2024-11-22,Ahmedabad,Male,51-65,Upper-middle,Rural,117.46,102.82,14.64,12.46,2024-11
2024-09-27,Other,Male,0-17,Middle,Urban,141.29,128.85,12.45,8.81,2024-09
2022-05-27,Other,Female,66+,Low,Urban,42.77,37.75,5.02,11.73,2022-05
2021-06-21,Other,Male,51-65,Lower-middle,Urban,90.23,79.06,11.16,12.37,2021-06
2024-04-04,Ahmedabad,Male,36-50,Lower-middle,Urban,128.54,114.25,14.29,11.11,2024-04
2024-04-08,Bhavnagar,Male,18-25,Middle,Urban,130.34,122.94,7.4,5.68,2024-04
2022-07-18,Gandhinagar,Male,26-35,Lower-middle,Rural,53.05,50.72,2.33,4.39,2022-07
2022-05-27,Bhavnagar,Female,51-65,Lower-middle,Rural,115.99,102.92,13.07,11.27,2022-05
2024-04-27,Rajkot,Male,0-17,Lower-middle,Urban,103.4,82.64,20.75,20.07,2024-04
2024-02-18,Rajkot,Female,36-50,Middle,Urban,72.65,61.77,10.88,14.97,2024-02
2021-04-15,Surat,Female,18-25,Middle,Urban,84.42,74.45,9.97,11.81,2021-04
2022-11-05,Surat,Female,26-35,Lower-middle,Urban,59.59,53.97,5.62,9.43,2022-11
2023-03-18,Ahmedabad,Male,0-17,Lower-middle,Rural,54.87,47.38,7.49,13.65,2023-03
2023-12-01,Surat,Male,66+,Low,Urban,55.88,49.03,6.85,12.25,2023-12
2023-06-08,Bhavnagar,Female,0-17,High,Urban,160.89,154.69,6.2,3.85,2023-06
2023-05-26,Rajkot,Female,36-50,Lower-middle,Urban,74.67,70.13,4.54,6.08,2023-05
2022-11-08,Rajkot,Female,26-35,Low,Urban,82.26,77.82,4.44,5.4,2022-11
2021-11-17,Vadodara,Male,51-65,Middle,Urban,94.4,80.08,14.31,15.16,2021-11
2021-12-01,Bhavnagar,Female,26-35,Lower-middle,Urban,94.73,90.01,4.72,4.98,2021-12
2024-03-29,Vadodara,Female,66+,Middle,Rural,98.58,87.75,10.83,10.98,2024-03
2021-09-21,Surat,Female,36-50,Low,Rural,73.12,65.99,7.13,9.75,2021-09
2023-05-15,Other,Female,36-50,Low,Urban,106.19,101.1,5.09,4.79,2023-05
2021-12-18,Other,Female,51-65,Lower-middle,Urban,89.3,80.65,8.65,9.69,2021-12
2024-05-18,Ahmedabad,Female,18-25,Middle,Rural,39.49,34.84,4.65,11.77,2024-05
2024-11-06,Surat,Male,26-35,Lower-middle,Rural,128.29,114.49,13.8,10.76,2024-11
2022-11-07,Rajkot,Female,36-50,Middle,Urban,131.47,131.25,0.21,0.16,2022-11
2023-07-08,Ahmedabad,Female,0-17,Lower-middle,Rural,88.61,75.55,13.06,14.74,2023-07
2021-01-05,Other,Male,51-65,Middle,Rural,90.6,81.84,8.76,9.67,2021-01
2021-02-03,Rajkot,Male,26-35,Lower-middle,Urban,136.89,117.13,19.76,14.43,2021-02
2024-03-14,Other,Female,36-50,Lower-middle,Urban,141.96,135.1,6.86,4.83,2024-03
2021-12-17,Surat,Female,66+,Upper-middle,Urban,130.31,130.31,0.0,0.0,2021-12
2022-08-06,Ahmedabad,Female,66+,Middle,Urban,118.9,105.82,13.08,11.0,2022-08
2022-04-10,Other,Female,26-35,Low,Urban,59.22,52.02,7.19,12.15,2022-04
2021-12-14,Other,Male,18-25,Middle,Urban,72.66,58.28,14.38,19.79,2021-12
2021-05-05,Other,Female,36-50,Low,Urban,72.59,72.59,0.0,0.0,2021-05
2024-07-18,Other,Female,36-50,High,Urban,143.67,137.29,6.38,4.44,2024-07
2021-12-23,Other,Male,18-25,Upper-middle,Urban,133.08,121.43,11.65,8.76,2021-12
2022-06-11,Ahmedabad,Male,18-25,Upper-middle,Urban,118.46,107.1,11.36,9.59,2022-06
2022-05-13,Surat,Male,18-25,Middle,Urban,119.6,109.58,10.02,8.37,2022-05
2024-03-22,Bhavnagar,Male,51-65,Low,Rural,103.86,96.45,7.41,7.13,2024-03
2021-02-22,Vadodara,Female,0-17,Lower-middle,Urban,50.31,39.78,10.53,20.93,2021-02
2021-05-29,Other,Male,18-25,Lower-middle,Rural,109.06,104.66,4.4,4.03,2021-05
2022-05-18,Surat,Male,36-50,Lower-middle,Urban,83.56,77.55,6.01,7.2,2022-05
2023-05-20,Other,Male,26-35,Middle,Urban,186.15,166.31,19.84,10.66,2023-05
2021-08-07,Other,Female,0-17,Middle,Urban,119.61,107.23,12.37,10.34,2021-08
2024-07-24,Surat,Male,18-25,Lower-middle,Urban,121.22,104.97,16.26,13.41,2024-07
2022-03-28,Ahmedabad,Male,26-35,Middle,Urban,46.59,39.96,6.63,14.24,2022-03
2024-12-22,Rajkot,Male,66+,Lower-middle,Rural,27.49,24.54,2.95,10.72,2024-12
2021-03-24,Vadodara,Male,26-35,Low,Rural,114.92,114.92,0.0,0.0,2021-03
2024-05-26,Ahmedabad,Male,0-17,Low,Urban,79.55,75.73,3.83,4.81,2024-05
2023-01-08,Ahmedabad,Female,66+,Middle,Urban,167.61,153.06,14.55,8.68,2023-01
2022-06-11,Vadodara,Male,26-35,Upper-middle,Rural,143.75,122.1,21.65,15.06,2022-06
2022-02-08,Ahmedabad,Male,0-17,Low,Rural,77.6,60.31,17.29,22.28,2022-02
2021-10-17,Surat,Male,36-50,Low,Urban,82.66,74.85,7.81,9.45,2021-10
2022-02-24,Ahmedabad,Female,51-65,Lower-middle,Rural,74.16,71.19,2.97,4.0,2022-02
2021-12-05,Rajkot,Male,36-50,Low,Rural,93.06,80.91,12.15,13.05,2021-12
2023-02-16,Rajkot,Other,18-25,Middle,Urban,104.33,100.09,4.24,4.06,2023-02
2022-12-12,Surat,Female,18-25,Low,Urban,80.66,71.72,8.94,11.09,2022-12
2023-09-14,Gandhinagar,Male,51-65,Low,Rural,112.01,100.29,11.73,10.47,2023-09
2023-08-17,Surat,Female,0-17,Middle,Rural,81.01,75.01,6.0,7.41,2023-08
2024-12-13,Rajkot,Female,36-50,Upper-middle,Urban,169.26,155.82,13.44,7.94,2024-12
2024-05-15,Gandhinagar,Female,0-17,Lower-middle,Urban,83.05,77.31,5.74,6.91,2024-05
2022-11-17,Other,Female,26-35,Lower-middle,Urban,97.12,80.71,16.4,16.89,2022-11
2024-07-12,Other,Female,66+,Middle,Rural,95.5,80.81,14.69,15.38,2024-07
2023-11-26,Surat,Male,36-50,Low,Urban,40.72,33.88,6.84,16.79,2023-11
2022-01-08,Bhavnagar,Female,18-25,Middle,Urban,115.72,106.1,9.63,8.32,2022-01
2024-07-06,Ahmedabad,Female,36-50,Low,Urban,110.7,101.03,9.67,8.74,2024-07
2023-09-21,Ahmedabad,Male,26-35,Low,Rural,5.0,4.45,0.55,10.92,2023-09
2022-06-15,Ahmedabad,Female,51-65,Middle,Urban,145.67,134.36,11.32,7.77,2022-06
2023-07-13,Other,Male,18-25,Upper-middle,Urban,164.0,164.0,0.0,0.0,2023-07
2021-01-23,Vadodara,Female,18-25,Middle,Rural,84.84,73.16,11.69,13.78,2021-01
2021-04-14,Ahmedabad,Female,36-50,Upper-middle,Urban,138.96,118.8,20.16,14.51,2021-04
2021-08-29,Ahmedabad,Female,36-50,High,Rural,110.86,97.96,12.9,11.64,2021-08
2023-10-02,Surat,Female,26-35,Upper-middle,Rural,98.76,87.87,10.89,11.03,2023-10
2023-06-22,Bhavnagar,Female,18-25,Middle,Urban,79.51,78.22,1.29,1.62,2023-06
2024-06-30,Gandhinagar,Male,26-35,Low,Urban,74.6,67.9,6.71,8.99,2024-06
2024-03-11,Vadodara,Female,18-25,Upper-middle,Rural,112.34,102.62,9.71,8.65,2024-03
2023-03-25,Bhavnagar,Male,0-17,Lower-middle,Rural,121.5,113.62,7.88,6.49,2023-03
2022-10-17,Ahmedabad,Male,51-65,Lower-middle,Urban,112.92,91.61,21.32,18.88,2022-10
2023-02-22,Surat,Female,26-35,Lower-middle,Urban,95.86,85.57,10.3,10.74,2023-02
2021-11-03,Ahmedabad,Male,26-35,Upper-middle,Urban,75.07,69.13,5.94,7.92,2021-11
2021-01-08,Ahmedabad,Male,36-50,Upper-middle,Rural,67.77,63.72,4.04,5.97,2021-01
2023-12-29,Other,Female,26-35,Lower-middle,Urban,99.8,90.23,9.57,9.59,2023-12
2022-07-29,Rajkot,Male,26-35,Upper-middle,Rural,141.42,141.42,0.0,0.0,2022-07
2023-12-28,Other,Male,36-50,Upper-middle,Rural,152.94,130.04,22.9,14.97,2023-12
2023-07-01,Ahmedabad,Female,26-35,Lower-middle,Rural,128.32,120.02,8.3,6.46,2023-07
2024-12-02,Bhavnagar,Female,51-65,Lower-middle,Urban,115.28,97.93,17.35,15.05,2024-12
2022-06-02,Bhavnagar,Male,18-25,Lower-middle,Urban,86.06,70.25,15.8,18.36,2022-06
2024-02-17,Other,Male,0-17,Middle,Urban,104.85,104.85,0.0,0.0,2024-02
2023-11-21,Other,Other,0-17,Middle,Rural,63.12,58.07,5.06,8.01,2023-11
2022-04-28,Gandhinagar,Female,51-65,Low,Urban,116.89,108.59,8.3,7.1,2022-04
2021-07-26,Other,Female,51-65,Lower-middle,Urban,60.3,52.61,7.68,12.74,2021-07
2022-10-31,Other,Male,0-17,Upper-middle,Rural,91.88,86.06,5.82,6.33,2022-10
2022-08-02,Other,Male,51-65,Upper-middle,Rural,90.8,90.8,0.0,0.0,2022-08
2022-01-22,Ahmedabad,Female,51-65,Low,Urban,62.11,58.88,3.23,5.2,2022-01
2022-02-16,Gandhinagar,Male,36-50,High,Rural,156.69,149.17,7.51,4.8,2022-02
2024-10-25,Ahmedabad,Female,36-50,Middle,Urban,129.34,113.02,16.31,12.61,2024-10
2024-10-08,Surat,Male,0-17,Middle,Urban,79.18,66.38,12.81,16.17,2024-10
2024-09-21,Other,Female,18-25,Upper-middle,Rural,86.78,81.1,5.68,6.54,2024-09
2023-06-10,Other,Male,18-25,Low,Rural,78.39,67.78,10.6,13.53,2023-06
